Cliente,Fecha,Guia,Origen,Destino,Tipo,Peso,P. VENTA,No. Fact,Pago Cliente,Fecha Pago,Status
AFISA ZONA LIBRE,43630,7013141203,PANAMA,COLOMBIA,DOCUMENTO,0.5 KG,26,583,26,43657,PAGADO
AFISA ZONA LIBRE. S.A,43642,1907498902,PANAMA,GUATEMALA,DOCUMENTOS,0.5 KG,29,629,29,43657,PAGADO
AGROCAMPO PANAMA. S.A.,43552,5811398143,PANAMA,GUATEMALA,DOCUMENTO,0.5 KG,40,322,40,43580,PAGADO
ARROCHA & CO,43395,4378362181,PANAMA,URUGUAY,DOCUMENTO,0.3 KGS,41,33,41,43397,PAGADO
ARROCHA & CO,43508,2737594112,PANAMA,COSTA RICA,DOCUMENTO,0.5 KG,31,227,31,43508,PAGADO
ARROCHA & CO,43543,3797009274,PANAMA,MEXICO,DOCUMENTO,0.3 KGS,40,299,40,43544,PAGADO
ARROCHA & CO,43550,3804987152,PANAMA,COLOMBIA,DOCUMENTO,0.5 KG,31,315,31,43550,PAGADO
AUSTRALIA OWNED (PANAMA PARKING),43419,6490294786,PANAMA,CHINA,PAQUETE,2 KGS,146,69,146,43420,PAGADO
AUSTRALIA OWNED (PANAMA PARKING),43537,2239663296,PANAMA,CHINA,PAQUETE,2.85 KGS,165,281,165,43539,PAGADO
AUSTRALIA OWNED (PANAMA PARKING),43550,3805062122,PANAMA,CHINA,PAQUETE,6.5 KGS,238,317,238,43557,PAGADO
AUSTRALIA OWNED (PANAMA PARKING),43557,1026414535,PANAMA,CHINA,PAQUETE,4 KG,196,325,196,43559,PAGADO
AVILA & CO / ABOGADOS ATTORNEYS,43452,4574846791,PANAMA,DUBAI,DOCUMENTO,0.5 KGS,66,126,66,43483,PAGADO
BIENES Y RAICES PMA DE COMERCIO,43410,4159062051,PANAMA,ITALIA,DOCUMENTO,0.5 KGS,82,54,82,43430,PAGADO
BIENES Y RAICES PMA DE COMERCIO,43444,2776050701,PANAMA,ITALIA,DOCUMENTO,0.5 KGS,80,105,80,43472,PAGADO
BLACK & DECKER DE PANAMA LLC,43587,2818442830,PANAMA,HONDURAS,PAQUETE,3 .5KG ,275,426,275,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43587,8279610776,PANAMA,SANTO DOMINGO,PAQUETE,3.5 KG ,310,427,310,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43594,2548637416,PANAMA,COSTA RICA,PAQUETE,7 KG ,197,448,197,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43598,4974845890,PANAMA,GUATEMALA,PAQUETE,3 KG ,249,464,249,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43602,1560608921,PANAMA,TRINIDAD,DOCUMENTO,0.5 KG,44,482,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43602,6501153050,PANAMA,ECUADOR,DOCUMENTO,0.5 KG,44,483,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43642,4965482115,PANAMA,COSTA RICA,PAQUETE,2.5 KG/3 kg,151,632,151,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43642,4965482115,PANAMA,COSTA RICA,IMPUESTOS,2.5 KG/3 kg,81,761,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43644,2133308623,PANAMA,NICARAGUA,PAQUETE,2.6 KG/3 KG,255,640,151,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43644,2133308623,PANAMA,NICARAGUA,IMPUESTOS,2.6 KG/3 KG,104,761,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43686,,PANAMA,VARIOS,IMPUESTOS,,544,761,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43640,9401667870,PANAMA,GUATEMALA,PAQUETE,5.0 KG,179,621,179,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43640,9401667870,PANAMA,GUATEMALA,IMPUESTOS,5.0 KG,128,761,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43640,9401671635,PANAMA,GUATEMALA,PAQUETE,2.5 KG/3 kg,151,622,151,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43640,9401671635,PANAMA,GUATEMALA,IMPUESTOS,2.5 KG/3 kg,69,761,,43686,PENDIENTE
